route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
vilnius_trol_2,12961,19093,"Stotis",0,68146,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19094,"Stotis",0,68143,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19095,"Stotis",0,68149,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19096,"Stotis",0,68157,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19097,"Stotis",0,68150,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19098,"Stotis",0,68151,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19099,"Stotis",0,68144,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19100,"Stotis",0,68142,vilnius_trol_2_a-b,1
vilnius_trol_2,12961,19101,"Stotis",0,68156,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19102,"Stotis",0,68155,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19103,"Stotis",0,68148,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19104,"Stotis",0,68145,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19105,"Stotis",0,68154,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19106,"Stotis",0,68146,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19107,"Stotis",0,68147,vilnius_trol_2_a-b,1
vilnius_trol_2,12961,19108,"Stotis",0,68149,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19109,"Stotis",0,68157,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19110,"Stotis",0,68150,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19111,"Stotis",0,68151,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19112,"Stotis",0,68143,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19113,"Stotis",0,68144,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19114,"Stotis",0,68142,vilnius_trol_2_a-b,1
vilnius_trol_2,12961,19115,"Stotis",0,68156,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19116,"Stotis",0,68155,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19117,"Stotis",0,68148,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19118,"Stotis",0,68154,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19119,"Stotis",0,68147,vilnius_trol_2_a-b,1
vilnius_trol_2,12961,19120,"Stotis",0,68157,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19121,"Stotis",0,68151,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19122,"Stotis",0,68143,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19123,"Stotis",0,68142,vilnius_trol_2_a-b,1
vilnius_trol_2,12961,19124,"Stotis",0,68156,vilnius_trol_2_a-b,
vilnius_trol_2,12961,19125,"Stotis",0,68154,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19126,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19127,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19128,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19129,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19130,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19131,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19132,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19133,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19134,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19135,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19136,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19137,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19138,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19139,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19140,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19141,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19142,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19143,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19144,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19145,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19146,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19147,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19148,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19149,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19150,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19151,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19152,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19153,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19154,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19155,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19156,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19157,"Stotis",0,68165,vilnius_trol_2_a-b,1
